survived,pclass,sex,age,fare,family_size,age_group,fare_per_person
0,2,male,30.0,10.5,1,young adult,10.5
1,3,male,16.0,8.05,1,teen,8.05
0,2,male,27.0,13.0,1,young adult,13.0
0,3,male,51.0,8.05,1,adult,8.05
0,3,male,28.0,7.8958,1,young adult,7.9
1,1,male,38.0,90.0,2,adult,45.0
0,3,male,22.0,9.35,1,young adult,9.35
1,2,male,19.0,10.5,1,young adult,10.5
0,3,male,20.5,7.25,1,young adult,7.25
0,2,male,18.0,13.0,1,teen,13.0
0,3,female,28.0,25.4667,5,young adult,5.09
1,1,female,35.0,83.475,2,young adult,41.74
0,3,male,29.0,7.775,1,young adult,7.78
0,2,male,59.0,13.5,1,senior,13.5
1,3,female,5.0,31.3875,7,child,4.48
0,2,male,24.0,10.5,1,young adult,10.5
0,3,female,28.0,7.55,1,young adult,7.55
0,2,male,44.0,26.0,2,adult,13.0
1,2,female,8.0,26.25,3,child,8.75
0,2,male,19.0,10.5,1,young adult,10.5
0,2,male,33.0,12.275,1,young adult,12.27
0,3,female,28.0,14.4542,2,young adult,7.23
1,3,female,28.0,15.5,2,young adult,7.75
0,2,male,29.0,10.5,1,young adult,10.5
0,3,male,22.0,7.125,1,young adult,7.12
0,3,male,30.0,7.225,1,young adult,7.22
0,1,male,44.0,90.0,3,adult,30.0
0,3,female,25.0,7.775,1,young adult,7.78
1,2,female,24.0,14.5,3,young adult,4.83
1,1,male,37.0,52.5542,3,adult,17.52
0,2,male,54.0,26.0,2,adult,13.0
0,3,male,28.0,7.25,1,young adult,7.25
0,3,female,29.0,10.4625,3,young adult,3.49
0,1,male,62.0,26.55,1,senior,26.55
0,3,male,30.0,16.1,2,young adult,8.05
0,3,female,41.0,20.2125,3,adult,6.74
1,3,female,29.0,15.2458,3,young adult,5.08
1,1,female,28.0,79.2,1,young adult,79.2
1,1,female,30.0,86.5,1,young adult,86.5
1,1,female,35.0,512.3292,1,young adult,512.33
1,2,female,50.0,26.0,2,adult,13.0
0,3,male,28.0,7.75,1,young adult,7.75
1,3,male,3.0,31.3875,7,child,4.48
0,1,male,52.0,79.65,3,adult,26.55
0,1,male,40.0,0.0,1,adult,0.0
0,3,female,28.0,7.75,1,young adult,7.75
0,2,male,36.0,10.5,1,adult,10.5
0,3,male,16.0,39.6875,6,teen,6.61
1,3,male,25.0,7.775,2,young adult,3.89
1,1,female,58.0,153.4625,2,senior,76.73
1,1,female,35.0,135.6333,1,young adult,135.63
0,1,male,28.0,31.0,1,young adult,31.0
1,3,male,25.0,0.0,1,young adult,0.0
1,2,female,41.0,19.5,2,adult,9.75
0,1,male,37.0,29.7,2,adult,14.85
1,3,female,28.0,7.75,1,young adult,7.75
1,1,female,63.0,77.9583,2,senior,38.98
0,3,female,45.0,7.75,1,adult,7.75
0,2,male,28.0,0.0,1,young adult,0.0
0,3,male,7.0,29.125,6,child,4.85
1,3,female,35.0,20.25,3,young adult,6.75
0,3,male,65.0,7.75,1,senior,7.75
0,3,male,28.0,7.8542,1,young adult,7.85
0,3,male,16.0,9.5,1,teen,9.5
1,3,male,19.0,8.05,1,young adult,8.05
0,1,male,28.0,26.0,1,young adult,26.0
0,3,male,33.0,8.6625,1,young adult,8.66
1,3,male,30.0,9.5,1,young adult,9.5
0,3,male,22.0,7.8958,1,young adult,7.9
1,2,male,42.0,13.0,1,adult,13.0
1,3,female,22.0,7.75,1,young adult,7.75
1,1,female,26.0,78.85,1,young adult,78.85
1,1,female,19.0,91.0792,2,young adult,45.54
0,2,male,36.0,12.875,1,adult,12.88
0,3,female,24.0,8.85,1,young adult,8.85
0,3,male,24.0,7.8958,1,young adult,7.9
0,1,male,28.0,27.7208,1,young adult,27.72
0,3,male,23.5,7.2292,1,young adult,7.23
0,1,female,2.0,151.55,4,child,37.89
1,1,male,28.0,30.5,1,young adult,30.5
1,1,female,50.0,247.5208,2,adult,123.76
1,3,female,28.0,7.75,1,young adult,7.75
1,3,male,28.0,23.25,3,young adult,7.75
0,3,male,19.0,0.0,1,young adult,0.0
1,2,female,28.0,12.35,1,young adult,12.35
0,3,male,28.0,8.05,1,young adult,8.05
1,1,male,0.92,151.55,4,child,37.89
1,1,female,28.0,110.8833,1,young adult,110.88
1,1,female,17.0,108.9,2,teen,54.45
0,2,male,30.0,24.0,2,young adult,12.0
1,1,female,30.0,56.9292,1,young adult,56.93
1,1,female,24.0,83.1583,1,young adult,83.16
1,1,female,18.0,262.375,5,teen,52.48
0,2,female,26.0,26.0,3,young adult,8.67
0,3,male,28.0,7.8958,1,young adult,7.9
0,2,male,43.0,26.25,3,adult,8.75
1,3,female,26.0,7.8542,1,young adult,7.85
1,2,female,24.0,26.0,2,young adult,13.0
0,2,male,54.0,14.0,1,adult,14.0
1,1,female,31.0,164.8667,3,young adult,54.96
1,1,female,40.0,134.5,3,adult,44.83
0,3,male,22.0,7.25,1,young adult,7.25
0,3,male,27.0,7.8958,1,young adult,7.9
1,2,female,30.0,12.35,1,young adult,12.35
1,2,female,22.0,29.0,3,young adult,9.67
0,3,male,28.0,69.55,11,young adult,6.32
1,1,female,36.0,135.6333,1,adult,135.63
0,3,male,61.0,6.2375,1,senior,6.24
1,2,female,36.0,13.0,1,adult,13.0
1,3,female,31.0,20.525,3,young adult,6.84
1,1,female,16.0,57.9792,2,teen,28.99
1,3,female,28.0,23.25,3,young adult,7.75
0,1,male,45.5,28.5,1,adult,28.5
0,1,male,38.0,153.4625,2,adult,76.73
0,3,male,16.0,18.0,3,teen,6.0
1,1,female,28.0,133.65,2,young adult,66.82
0,3,male,28.0,7.8958,1,young adult,7.9
0,1,male,29.0,66.6,2,young adult,33.3
1,1,female,41.0,134.5,1,adult,134.5
1,3,male,45.0,8.05,1,adult,8.05
0,1,male,45.0,35.5,1,adult,35.5
1,2,male,2.0,26.0,3,child,8.67
1,1,female,24.0,263.0,6,young adult,43.83
0,2,male,28.0,13.0,1,young adult,13.0
0,2,male,25.0,13.0,1,young adult,13.0
0,2,male,36.0,13.0,1,adult,13.0
1,2,female,24.0,13.0,1,young adult,13.0
1,2,female,40.0,13.0,1,adult,13.0
1,3,female,28.0,16.1,2,young adult,8.05
1,3,male,3.0,15.9,3,child,5.3
0,3,male,42.0,8.6625,1,adult,8.66
0,3,male,23.0,9.225,1,young adult,9.23
0,1,male,28.0,35.0,1,young adult,35.0
0,3,male,15.0,7.2292,3,teen,2.41
0,3,male,25.0,17.8,2,young adult,8.9
0,3,male,28.0,7.225,1,young adult,7.22
0,3,male,28.0,9.5,1,young adult,9.5
1,1,female,22.0,55.0,2,young adult,27.5
0,2,female,38.0,13.0,1,adult,13.0
1,3,female,28.0,7.8792,1,young adult,7.88
1,3,female,28.0,7.8792,1,young adult,7.88
0,3,male,40.0,27.9,6,adult,4.65
0,2,male,29.0,27.7208,2,young adult,13.86
0,3,female,45.0,14.4542,2,adult,7.23
0,3,male,35.0,7.05,1,young adult,7.05
0,3,male,28.0,15.5,2,young adult,7.75
0,3,male,30.0,7.25,1,young adult,7.25
1,1,female,60.0,75.25,2,senior,37.62
1,3,female,28.0,7.2292,1,young adult,7.23
1,3,female,28.0,7.75,1,young adult,7.75
1,1,female,24.0,69.3,1,young adult,69.3
1,1,male,25.0,55.4417,2,young adult,27.72
0,3,male,18.0,6.4958,2,teen,3.25
0,3,male,19.0,8.05,1,young adult,8.05
0,1,male,22.0,135.6333,1,young adult,135.63
0,3,female,3.0,21.075,5,child,4.22
1,1,female,28.0,82.1708,2,young adult,41.09
1,3,female,22.0,7.25,1,young adult,7.25
0,1,male,27.0,211.5,3,young adult,70.5
0,3,male,20.0,4.0125,1,young adult,4.01
0,3,male,19.0,7.775,1,young adult,7.78
1,1,female,42.0,227.525,1,adult,227.52
1,3,female,1.0,15.7417,3,child,5.25
0,3,male,32.0,7.925,1,young adult,7.93
1,1,female,35.0,52.0,2,young adult,26.0
0,3,male,28.0,7.8958,1,young adult,7.9
0,2,male,18.0,73.5,1,teen,73.5
0,3,male,1.0,46.9,8,child,5.86
1,2,female,36.0,13.0,1,adult,13.0
0,3,male,28.0,7.7292,1,young adult,7.73
1,2,female,17.0,12.0,1,teen,12.0
1,1,male,36.0,120.0,4,adult,30.0
1,3,male,21.0,7.7958,1,young adult,7.8
0,3,male,28.0,7.925,3,young adult,2.64
1,1,female,23.0,113.275,2,young adult,56.64
1,3,female,24.0,16.7,3,young adult,5.57
0,3,male,22.0,7.7958,1,young adult,7.8
0,3,female,31.0,7.8542,1,young adult,7.85
0,2,male,46.0,26.0,1,adult,26.0
0,2,male,23.0,10.5,1,young adult,10.5
1,2,female,28.0,12.65,1,young adult,12.65
1,3,male,39.0,7.925,1,adult,7.93
0,3,male,26.0,8.05,1,young adult,8.05
0,3,female,21.0,9.825,2,young adult,4.91
0,3,male,28.0,15.85,2,young adult,7.93
0,3,female,20.0,8.6625,1,young adult,8.66
0,2,male,34.0,21.0,2,young adult,10.5
0,3,male,51.0,7.75,1,adult,7.75
1,2,male,3.0,18.75,3,child,6.25
0,3,male,21.0,7.775,1,young adult,7.78
0,3,female,28.0,25.4667,5,young adult,5.09
0,3,male,28.0,7.8958,1,young adult,7.9
0,3,male,28.0,6.8583,1,young adult,6.86
1,1,female,33.0,90.0,2,young adult,45.0
0,2,male,28.0,0.0,1,young adult,0.0
1,3,male,44.0,7.925,1,adult,7.93
0,3,female,28.0,8.05,1,young adult,8.05
1,2,female,34.0,32.5,3,young adult,10.83
1,2,female,18.0,13.0,3,teen,4.33
0,2,male,30.0,13.0,1,young adult,13.0
0,3,female,10.0,24.15,3,child,8.05
0,3,male,28.0,7.8958,1,young adult,7.9
0,3,male,21.0,7.7333,1,young adult,7.73
0,3,male,29.0,7.875,1,young adult,7.88
0,3,female,28.0,14.4,3,young adult,4.8
0,3,male,18.0,20.2125,3,teen,6.74
0,3,male,28.0,7.25,1,young adult,7.25
1,2,female,28.0,26.0,2,young adult,13.0
1,2,female,19.0,26.0,1,young adult,26.0
0,3,male,28.0,7.75,1,young adult,7.75
1,3,male,32.0,8.05,1,young adult,8.05
1,1,male,28.0,26.55,1,young adult,26.55
1,3,female,28.0,16.1,2,young adult,8.05
1,2,female,42.0,26.0,2,adult,13.0
0,3,male,17.0,7.125,1,teen,7.12
0,1,male,50.0,55.9,2,adult,27.95
1,1,female,14.0,120.0,4,teen,30.0
0,3,female,21.0,34.375,5,young adult,6.88
1,2,female,24.0,18.75,6,young adult,3.12
0,1,male,64.0,263.0,6,senior,43.83
0,2,male,31.0,10.5,1,young adult,10.5
1,2,female,45.0,26.25,3,adult,8.75
0,3,male,20.0,9.5,1,young adult,9.5
0,3,male,25.0,7.775,2,young adult,3.89
1,2,female,28.0,13.0,1,young adult,13.0
1,3,male,28.0,8.1125,1,young adult,8.11
1,1,male,4.0,81.8583,3,child,27.29
1,2,female,13.0,19.5,2,teen,9.75
1,1,male,34.0,26.55,1,young adult,26.55
1,3,female,5.0,19.2583,4,child,4.81
1,1,male,52.0,30.5,1,adult,30.5
0,2,male,36.0,27.75,4,adult,6.94
0,3,male,28.0,19.9667,2,young adult,9.98
0,1,male,30.0,27.75,1,young adult,27.75
1,1,male,49.0,89.1042,2,adult,44.55
0,3,male,28.0,8.05,1,young adult,8.05
1,3,male,29.0,7.8958,1,young adult,7.9
0,1,male,65.0,26.55,1,senior,26.55
1,1,female,28.0,51.8625,2,young adult,25.93
1,2,female,50.0,10.5,1,adult,10.5
0,3,male,28.0,7.75,1,young adult,7.75
1,1,male,48.0,26.55,1,adult,26.55
0,3,male,34.0,8.05,1,young adult,8.05
0,1,male,47.0,38.5,1,adult,38.5
0,2,male,48.0,13.0,1,adult,13.0
0,3,male,28.0,8.05,1,young adult,8.05
0,3,male,38.0,7.05,1,adult,7.05
0,2,male,28.0,0.0,1,young adult,0.0
0,1,male,56.0,26.55,1,senior,26.55
0,3,male,28.0,7.725,1,young adult,7.72
1,3,female,0.75,19.2583,4,child,4.81
0,3,male,28.0,7.25,1,young adult,7.25
0,3,male,38.0,8.6625,1,adult,8.66
1,2,female,33.0,27.75,4,young adult,6.94
1,2,female,23.0,13.7917,1,young adult,13.79
0,3,female,22.0,9.8375,1,young adult,9.84
0,1,male,28.0,52.0,1,young adult,52.0
0,2,male,34.0,21.0,2,young adult,10.5
0,3,male,29.0,7.0458,2,young adult,3.52
0,3,male,22.0,7.5208,1,young adult,7.52
1,3,female,2.0,12.2875,2,child,6.14
0,3,male,9.0,46.9,8,child,5.86
0,2,male,28.0,0.0,1,young adult,0.0
0,3,male,50.0,8.05,1,adult,8.05
1,3,female,63.0,9.5875,1,senior,9.59
1,1,male,25.0,91.0792,2,young adult,45.54
0,3,female,28.0,25.4667,5,young adult,5.09
1,1,female,35.0,90.0,2,young adult,45.0
0,1,male,58.0,29.7,1,senior,29.7
0,3,male,30.0,8.05,1,young adult,8.05
1,3,male,9.0,15.9,3,child,5.3
0,3,male,28.0,19.9667,2,young adult,9.98
0,3,male,21.0,7.25,1,young adult,7.25
0,1,male,55.0,30.5,1,adult,30.5
0,1,male,71.0,49.5042,1,senior,49.5
0,3,male,21.0,8.05,1,young adult,8.05
0,3,male,28.0,14.4583,1,young adult,14.46
1,1,female,54.0,78.2667,2,adult,39.13
0,3,male,28.0,15.1,1,young adult,15.1
0,1,female,25.0,151.55,4,young adult,37.89
0,3,male,24.0,7.7958,1,young adult,7.8
0,3,male,17.0,8.6625,1,teen,8.66
0,3,female,21.0,7.75,1,young adult,7.75
0,3,female,28.0,7.6292,1,young adult,7.63
0,3,female,37.0,9.5875,1,adult,9.59
1,1,female,16.0,86.5,1,teen,86.5
0,1,male,18.0,108.9,2,teen,54.45
1,2,female,33.0,26.0,3,young adult,8.67
1,1,male,28.0,26.55,1,young adult,26.55
0,3,male,28.0,22.525,1,young adult,22.52
1,3,male,26.0,56.4958,1,young adult,56.5
1,3,male,29.0,7.75,1,young adult,7.75
0,3,male,28.0,8.05,1,young adult,8.05
1,1,male,36.0,26.2875,1,adult,26.29
1,1,female,54.0,59.4,2,adult,29.7
0,3,male,24.0,7.4958,1,young adult,7.5
0,1,male,47.0,34.0208,1,adult,34.02
1,2,female,34.0,10.5,1,young adult,10.5
0,3,male,28.0,24.15,1,young adult,24.15
1,2,female,36.0,26.0,2,adult,13.0
0,3,male,32.0,7.8958,1,young adult,7.9
1,1,female,30.0,93.5,1,young adult,93.5
0,3,male,22.0,7.8958,1,young adult,7.9
0,3,male,28.0,7.225,1,young adult,7.22
1,1,female,44.0,57.9792,2,adult,28.99
0,3,male,28.0,7.2292,1,young adult,7.23
0,3,male,40.5,7.75,1,adult,7.75
1,2,female,50.0,10.5,1,adult,10.5
0,1,male,28.0,221.7792,1,young adult,221.78
0,3,male,39.0,7.925,1,adult,7.93
0,2,male,23.0,11.5,4,young adult,2.88
1,2,female,2.0,26.0,3,child,8.67
0,3,male,28.0,7.2292,1,young adult,7.23
0,3,male,17.0,7.2292,3,teen,2.41
1,3,female,28.0,22.3583,3,young adult,7.45
0,3,female,30.0,8.6625,1,young adult,8.66
1,2,female,7.0,26.25,3,child,8.75
0,1,male,45.0,26.55,1,adult,26.55
1,1,female,30.0,106.425,1,young adult,106.43
0,3,male,28.0,14.5,1,young adult,14.5
1,1,female,22.0,49.5,3,young adult,16.5
1,1,female,36.0,71.0,3,adult,23.67
0,3,female,9.0,31.275,7,child,4.47
0,3,female,11.0,31.275,7,child,4.47
1,2,male,32.0,26.0,2,young adult,13.0
0,1,male,50.0,106.425,2,adult,53.21
0,1,male,64.0,26.0,1,senior,26.0
1,2,female,19.0,26.0,2,young adult,13.0
1,2,male,28.0,13.8625,1,young adult,13.86
0,3,male,33.0,20.525,3,young adult,6.84
1,2,male,8.0,36.75,3,child,12.25
1,1,male,17.0,110.8833,3,teen,36.96
0,2,male,27.0,26.0,1,young adult,26.0
0,3,male,28.0,7.8292,1,young adult,7.83
1,3,male,22.0,7.225,1,young adult,7.22
1,3,female,22.0,7.775,1,young adult,7.78
0,1,male,62.0,26.55,1,senior,26.55
1,1,female,48.0,39.6,2,adult,19.8
0,1,male,28.0,227.525,1,young adult,227.52
1,1,female,39.0,79.65,3,adult,26.55
1,3,female,36.0,17.4,2,adult,8.7
0,3,male,28.0,7.75,1,young adult,7.75
0,3,male,40.0,7.8958,1,adult,7.9
0,2,male,28.0,13.5,1,young adult,13.5
0,3,male,28.0,8.05,1,young adult,8.05
0,3,female,28.0,8.05,1,young adult,8.05
0,3,male,24.0,24.15,3,young adult,8.05
0,3,male,19.0,7.8958,1,young adult,7.9
0,3,female,29.0,21.075,5,young adult,4.22
0,3,male,28.0,7.2292,1,young adult,7.23
1,3,male,32.0,7.8542,1,young adult,7.85
1,2,male,62.0,10.5,1,senior,10.5
1,1,female,53.0,51.4792,3,adult,17.16
1,1,male,36.0,26.3875,1,adult,26.39
1,3,female,28.0,7.75,1,young adult,7.75
0,3,male,16.0,8.05,1,teen,8.05
0,3,male,19.0,14.5,1,young adult,14.5
1,2,female,34.0,13.0,1,young adult,13.0
1,1,female,39.0,55.9,2,adult,27.95
0,3,female,28.0,14.4583,2,young adult,7.23
1,3,male,32.0,7.925,1,young adult,7.93
1,2,female,25.0,30.0,3,young adult,10.0
1,1,female,39.0,110.8833,3,adult,36.96
0,2,male,54.0,26.0,1,adult,26.0
0,1,male,36.0,40.125,1,adult,40.12
